,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_banner_url,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.place.id,retweeted_status.place.url,retweeted_status.place.place_type,retweeted_status.place.name,retweeted_status.place.full_name,retweeted_status.place.country_code,retweeted_status.place.country,retweeted_status.place.contained_within,retweeted_status.place.bounding_box.type,retweeted_status.place.bounding_box.coordinates,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.possibly_sensitive
50,Thu Jan 23 12:54:55 +0000 2020,1220329059705675776,1220329059705675776,@JHenryC @LSHTM @mrcunitgambia Wonderful! Huge congratulations Dr Cross!,False,"[31, 72]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220267228047782e+18,1220267228047781889,85320834.0,85320834,JHenryC,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JHenryC', 'name': 'James Henry Cross', 'id': 85320834, 'id_str': '85320834', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}, {'screen_name': 'mrcunitgambia', 'name': 'MRC Unit The Gambia at LSHTM', 'id': 617943922, 'id_str': '617943922', 'indices': [16, 30]}]",[],en,recent,3002069224,3002069224,Dr Helen c Brotherton,Drhelbro,Edinburgh / London / Gambia,Paediatrician & Wellcome-Trust research training fellow @LSHTM @mrcunitgambia. Global newborn health; #preterm #KMC #HAI,,[],False,608,1222,3,Tue Jan 27 20:47:04 +0000 2015,1825,,,True,False,642,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1187476674171953153/9hUIOCNI_normal.jpg,https://pbs.twimg.com/profile_images/1187476674171953153/9hUIOCNI_normal.jpg,https://pbs.twimg.com/profile_banners/3002069224/1571951480,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Thu Jan 23 12:49:06 +0000 2020,1220327596614987776,1220327596614987776,@JHenryC @LSHTM @mrcunitgambia Huge congrats Dr Cross! 🎉🙌🏼👨🏻‍🎓,False,"[31, 62]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220267228047782e+18,1220267228047781889,85320834.0,85320834,JHenryC,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JHenryC', 'name': 'James Henry Cross', 'id': 85320834, 'id_str': '85320834', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}, {'screen_name': 'mrcunitgambia', 'name': 'MRC Unit The Gambia at LSHTM', 'id': 617943922, 'id_str': '617943922', 'indices': [16, 30]}]",[],en,recent,77175917,77175917,Sam Tweed,samtweed,"London, UK","Medical Doc doing #MPH @LSHTM 👨‍🎓👨‍⚕️. #GlobalHealth lecturer @aberdeenuni & alumni @WeAreSfGH, still #NorthernIrish at heart",,[],False,391,463,7,Fri Sep 25 09:31:47 +0000 2009,1918,,,True,False,670,,False,False,False,000000,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,False,http://pbs.twimg.com/profile_images/1177894597839740929/yH0XdILQ_normal.jpg,https://pbs.twimg.com/profile_images/1177894597839740929/yH0XdILQ_normal.jpg,https://pbs.twimg.com/profile_banners/77175917/1430398656,3B94D9,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Thu Jan 23 11:50:15 +0000 2020,1220312786925948928,1220312786925948928,"@JHenryC @LSHTM @mrcunitgambia Congrats, Dr. Cross! 🥳",False,"[31, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.220267228047782e+18,1220267228047781889,85320834.0,85320834,JHenryC,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'JHenryC', 'name': 'James Henry Cross', 'id': 85320834, 'id_str': '85320834', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}, {'screen_name': 'mrcunitgambia', 'name': 'MRC Unit The Gambia at LSHTM', 'id': 617943922, 'id_str': '617943922', 'indices': [16, 30]}]",[],en,recent,3975257511,3975257511,Mardieh Dennis,MardiehD,"Monrovia, Liberia",Social scientist || Working to strengthen #HealthSystems & improve #ReproductiveHealth in Liberia and around the world 🌍,,[],False,795,522,10,Fri Oct 16 23:03:39 +0000 2015,3969,,,True,False,1385,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/983388659905892353/yW3i-Kz-_normal.jpg,https://pbs.twimg.com/profile_images/983388659905892353/yW3i-Kz-_normal.jpg,https://pbs.twimg.com/profile_banners/3975257511/1445070654,4A913C,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Wed Jan 22 07:08:50 +0000 2020,1219879578128322560,1219879578128322560,@BBCTomFeilden @BBCr4today @LSHTM Pandemic ?,False,"[34, 44]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2198785973448663e+18,1219878597344866305,132523809.0,132523809,BBCTomFeilden,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'BBCTomFeilden', 'name': 'Tom Feilden', 'id': 132523809, 'id_str': '132523809', 'indices': [0, 14]}, {'screen_name': 'BBCr4today', 'name': 'BBC Radio 4 Today', 'id': 8170292, 'id_str': '8170292', 'indices': [15, 26]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [27, 33]}]",[],en,recent,14474535,14474535,JeremyBennett,JeremyBennett,London,"Software + SaaS eCommerce & Digital Marketing for major and global clients - Skateboarder, Skiier, Sailor, Yachtsman, Powerboater, PADI and Dad !",,[],False,96,152,15,Tue Apr 22 13:37:42 +0000 2008,3593,,,False,False,6048,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1039976361727864833/daNTqAIp_normal.jpg,https://pbs.twimg.com/profile_images/1039976361727864833/daNTqAIp_normal.jpg,https://pbs.twimg.com/profile_banners/14474535/1536784732,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Tue Jan 21 16:23:38 +0000 2020,1219656809180467200,1219656809180467200,@priyalalista Maybe Martin Gorsky and others @LSHTM ?,False,"[14, 53]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2196506967416381e+18,1219650696741638152,2900797919.0,2900797919,priyalalista,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'priyalalista', 'name': 'Priya Lal', 'id': 2900797919, 'id_str': '2900797919', 'indices': [0, 13]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [45, 51]}]",[],en,recent,1029356729434292231,1029356729434292231,Holly Ashford,hollyrashford,"Cambridge, England","PhD student in History at the University of Cambridge. Main interests/work: Ghanaian/African history, reproductive health, gender and sexuality.",https://t.co/fm7cCrYSit,[],False,460,872,5,Tue Aug 14 13:19:03 +0000 2018,4986,,,True,False,366,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1029361265171415042/AVDEDKDM_normal.jpg,https://pbs.twimg.com/profile_images/1029361265171415042/AVDEDKDM_normal.jpg,https://pbs.twimg.com/profile_banners/1029356729434292231/1534256419,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,"[{'url': 'https://t.co/fm7cCrYSit', 'expanded_url': 'https://www.hist.cam.ac.uk/directory/holly-ashford/', 'display_url': 'hist.cam.ac.uk/directory/holl…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3aa1b1861c56d910,https://api.twitter.com/1.1/geo/id/3aa1b1861c56d910.json,city,Cambridge,"Cambridge, England",GB,United Kingdom,[],Polygon,"[[[0.0873022, 52.1642435], [0.18453, 52.1642435], [0.18453, 52.237704], [0.0873022, 52.237704]]]",,,
102,Tue Jan 21 13:19:09 +0000 2020,1219610382832005120,1219610382832005120,@ParasiteGal @JMGardnerMD @mayocliniclabs @ASTMH @Pathologists @AmSocParasit @LSHTM Its cross section really shows it's more of a nematode so Im going with adult Ascaris; though differential would be Hookworm.,False,"[84, 209]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194259954526085e+18,1219425995452608512,27116474.0,27116474,ParasiteGal,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ParasiteGal', 'name': 'Bobbi Pritt, MD', 'id': 27116474, 'id_str': '27116474', 'indices': [0, 12]}, {'screen_name': 'JMGardnerMD', 'name': 'Jerad Gardner, MD', 'id': 45577730, 'id_str': '45577730', 'indices': [13, 25]}, {'screen_name': 'mayocliniclabs', 'name': 'Mayo Clinic Labs', 'id': 270900518, 'id_str': '270900518', 'indices': [26, 41]}, {'screen_name': 'ASTMH', 'name': 'ASTMH', 'id': 75322835, 'id_str': '75322835', 'indices': [42, 48]}, {'screen_name': 'Pathologists', 'name': 'CAPathologists', 'id': 24725678, 'id_str': '24725678', 'indices': [49, 62]}, {'screen_name': 'AmSocParasit', 'name': 'ASP-Parasitologists', 'id': 1571153389, 'id_str': '1571153389', 'indices': [63, 76]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [77, 83]}]",[],en,recent,2394441980,2394441980,"Shu, RMT",anueru432,,"He/him. Registered Medical Technologist. Current Medical Student. Undifferentiated but leaning towards #pathology, #EM and #OBGyne.",,[],False,307,750,3,Mon Mar 17 13:56:31 +0000 2014,21977,,,True,False,18426,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1212224287613964289/IgcMN8nZ_normal.jpg,https://pbs.twimg.com/profile_images/1212224287613964289/IgcMN8nZ_normal.jpg,https://pbs.twimg.com/profile_banners/2394441980/1494214153,91D2FA,000000,000000,000000,False,True,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Tue Jan 21 12:34:57 +0000 2020,1219599262675275779,1219599262675275779,"@ParasiteGal @JMGardnerMD @mayocliniclabs @ASTMH @Pathologists @AmSocParasit @LSHTM Not a parasite, I'm thinking. It really does look more like a bipalium or similar.",False,"[84, 166]","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2194259954526085e+18,1219425995452608512,27116474.0,27116474,ParasiteGal,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ParasiteGal', 'name': 'Bobbi Pritt, MD', 'id': 27116474, 'id_str': '27116474', 'indices': [0, 12]}, {'screen_name': 'JMGardnerMD', 'name': 'Jerad Gardner, MD', 'id': 45577730, 'id_str': '45577730', 'indices': [13, 25]}, {'screen_name': 'mayocliniclabs', 'name': 'Mayo Clinic Labs', 'id': 270900518, 'id_str': '270900518', 'indices': [26, 41]}, {'screen_name': 'ASTMH', 'name': 'ASTMH', 'id': 75322835, 'id_str': '75322835', 'indices': [42, 48]}, {'screen_name': 'Pathologists', 'name': 'CAPathologists', 'id': 24725678, 'id_str': '24725678', 'indices': [49, 62]}, {'screen_name': 'AmSocParasit', 'name': 'ASP-Parasitologists', 'id': 1571153389, 'id_str': '1571153389', 'indices': [63, 76]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [77, 83]}]",[],en,recent,1057030848518782978,1057030848518782978,Christopher Blanar,ChrisBlanar,"Fort Lauderdale, FL","Associate professor of Biology in the Halmos College of Natural Sciences and Oceanography at https://t.co/cE0cloHQU8 
Parasitologist, proud dad. he/him/his",https://t.co/G6RclcGEdp,"[{'url': 'https://t.co/cE0cloHQU8', 'expanded_url': 'http://nova.edu', 'display_url': 'nova.edu', 'indices': [93, 116]}]",False,105,161,0,Mon Oct 29 22:06:07 +0000 2018,2148,,,True,False,154,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1057057502058008581/GD3uNGGZ_normal.jpg,https://pbs.twimg.com/profile_images/1057057502058008581/GD3uNGGZ_normal.jpg,https://pbs.twimg.com/profile_banners/1057030848518782978/1540851477,1B6FC0,000000,000000,000000,False,True,False,False,False,False,False,none,"[{'url': 'https://t.co/G6RclcGEdp', 'expanded_url': 'https://sites.google.com/view/blanarparasitologyresearch/home', 'display_url': 'sites.google.com/view/blanarpar…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Tue Jan 21 08:31:56 +0000 2020,1219538102164824064,1219538102164824064,"@ParasiteGal @JMGardnerMD @mayocliniclabs @ASTMH @Pathologists @AmSocParasit @LSHTM Ok, I literally have no idea about this one. Not sure if it’s even a parasite.",False,"[84, 162]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194259954526085e+18,1219425995452608512,27116474.0,27116474,ParasiteGal,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'ParasiteGal', 'name': 'Bobbi Pritt, MD', 'id': 27116474, 'id_str': '27116474', 'indices': [0, 12]}, {'screen_name': 'JMGardnerMD', 'name': 'Jerad Gardner, MD', 'id': 45577730, 'id_str': '45577730', 'indices': [13, 25]}, {'screen_name': 'mayocliniclabs', 'name': 'Mayo Clinic Labs', 'id': 270900518, 'id_str': '270900518', 'indices': [26, 41]}, {'screen_name': 'ASTMH', 'name': 'ASTMH', 'id': 75322835, 'id_str': '75322835', 'indices': [42, 48]}, {'screen_name': 'Pathologists', 'name': 'CAPathologists', 'id': 24725678, 'id_str': '24725678', 'indices': [49, 62]}, {'screen_name': 'AmSocParasit', 'name': 'ASP-Parasitologists', 'id': 1571153389, 'id_str': '1571153389', 'indices': [63, 76]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [77, 83]}]",[],en,recent,103137156,103137156,Juan Carlos Gabaldon,JuanCGabaldon,Ulthar,"Médico ULA, cursando parasitología médica @lshtm , Chevening Scholar 2019-2020. Escribo en @caracaschron y @_cinco8 Me gustan los gatos y los dinosaurios.",,[],False,3404,994,11,Sat Jan 09 01:07:49 +0000 2010,18535,,,True,False,24099,,False,False,False,131516,http://abs.twimg.com/images/themes/theme14/bg.gif,https://abs.twimg.com/images/themes/theme14/bg.gif,True,http://pbs.twimg.com/profile_images/1206536666212634629/yrxJIA6R_normal.jpg,https://pbs.twimg.com/profile_images/1206536666212634629/yrxJIA6R_normal.jpg,https://pbs.twimg.com/profile_banners/103137156/1534702415,009999,EEEEEE,EFEFEF,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Tue Jan 21 03:40:41 +0000 2020,1219464807742492672,1219464807742492672,@ParasiteGal @JMGardnerMD @mayocliniclabs @ASTMH @Pathologists @AmSocParasit @LSHTM Where does the patient live?,False,"[84, 112]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194259954526085e+18,1219425995452608512,27116474.0,27116474,ParasiteGal,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'ParasiteGal', 'name': 'Bobbi Pritt, MD', 'id': 27116474, 'id_str': '27116474', 'indices': [0, 12]}, {'screen_name': 'JMGardnerMD', 'name': 'Jerad Gardner, MD', 'id': 45577730, 'id_str': '45577730', 'indices': [13, 25]}, {'screen_name': 'mayocliniclabs', 'name': 'Mayo Clinic Labs', 'id': 270900518, 'id_str': '270900518', 'indices': [26, 41]}, {'screen_name': 'ASTMH', 'name': 'ASTMH', 'id': 75322835, 'id_str': '75322835', 'indices': [42, 48]}, {'screen_name': 'Pathologists', 'name': 'CAPathologists', 'id': 24725678, 'id_str': '24725678', 'indices': [49, 62]}, {'screen_name': 'AmSocParasit', 'name': 'ASP-Parasitologists', 'id': 1571153389, 'id_str': '1571153389', 'indices': [63, 76]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [77, 83]}]",[],en,recent,519248405,519248405,christian darren,chrisbag29,"San Francisco, CA","Clinical Lab Scientist. MT(ASCP), SM(ASCP). Microbiology is my specialty. World class procrastinator. Graduate CLS student. #scarletknight 🔬🦠💉👨🏼‍🍳✈️",,[],False,138,149,1,Fri Mar 09 06:41:59 +0000 2012,888,,,True,False,513,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1081650351231528960/EA28CAPn_normal.jpg,https://pbs.twimg.com/profile_images/1081650351231528960/EA28CAPn_normal.jpg,https://pbs.twimg.com/profile_banners/519248405/1546720516,0084B4,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Tue Jan 21 02:34:32 +0000 2020,1219448160944345088,1219448160944345088,@ParasiteGal @JMGardnerMD @mayocliniclabs @ASTMH @Pathologists @AmSocParasit @LSHTM I am baffled with the image of the parasite. The cross-sectional image looks like a platyhelminth.,False,"[84, 182]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2194259954526085e+18,1219425995452608512,27116474.0,27116474,ParasiteGal,,,,,False,0,2,False,False,en,[],[],"[{'screen_name': 'ParasiteGal', 'name': 'Bobbi Pritt, MD', 'id': 27116474, 'id_str': '27116474', 'indices': [0, 12]}, {'screen_name': 'JMGardnerMD', 'name': 'Jerad Gardner, MD', 'id': 45577730, 'id_str': '45577730', 'indices': [13, 25]}, {'screen_name': 'mayocliniclabs', 'name': 'Mayo Clinic Labs', 'id': 270900518, 'id_str': '270900518', 'indices': [26, 41]}, {'screen_name': 'ASTMH', 'name': 'ASTMH', 'id': 75322835, 'id_str': '75322835', 'indices': [42, 48]}, {'screen_name': 'Pathologists', 'name': 'CAPathologists', 'id': 24725678, 'id_str': '24725678', 'indices': [49, 62]}, {'screen_name': 'AmSocParasit', 'name': 'ASP-Parasitologists', 'id': 1571153389, 'id_str': '1571153389', 'indices': [63, 76]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [77, 83]}]",[],en,recent,997863027222380545,997863027222380545,"SaidaMY, MD",SaidaMY2,Minneapolis Mn,"🇹🇿🇴🇲🇸🇴PGY @HennepinHC #Healthequity #SDoH #primarycare #migranthealth #Globalhealth #HealthIT #Blackwomeninmedicine @universitemDEU, KCMC alum #medtwitter",,[],False,1044,4401,12,Sat May 19 15:34:19 +0000 2018,3008,,,False,False,1664,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1122988969451499521/b_u85ISZ_normal.jpg,https://pbs.twimg.com/profile_images/1122988969451499521/b_u85ISZ_normal.jpg,https://pbs.twimg.com/profile_banners/997863027222380545/1553661854,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Tue Jan 21 00:31:05 +0000 2020,1219417094342705155,1219417094342705155,@joylawn @LSHTM Thanks Joy 😊. None of this possible with Steve’s supervision/mentorship.,False,"[16, 88]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2193868305897677e+18,1219386830589767680,291654599.0,291654599,joylawn,,,,,False,0,3,False,False,en,[],[],"[{'screen_name': 'joylawn', 'name': 'Prof Joy Lawn', 'id': 291654599, 'id_str': '291654599', 'indices': [0, 8]}, {'screen_name': 'LSHTM', 'name': 'London School of Hygiene & Tropical Medicine', 'id': 72843097, 'id_str': '72843097', 'indices': [9, 15]}]",[],en,recent,2491785316,2491785316,Ankur Gupta-Wright,ankurgw,,"Clinical research fellow at LSHTM, infectious diseases and GIM doctor",,[],False,434,498,2,Fri Apr 18 09:28:03 +0000 2014,483,,,False,False,349,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/631488395810893824/z7S5LFnO_normal.jpg,https://pbs.twimg.com/profile_images/631488395810893824/z7S5LFnO_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
