,created_at,id,id_str,full_text,truncated,display_text_range,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,metadata.iso_language_code,metadata.result_type,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.profile_banner_url,user.entities.url.urls,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.full_text,retweeted_status.truncated,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.metadata.iso_language_code,retweeted_status.metadata.result_type,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,place.id,place.url,place.place_type,place.name,place.full_name,place.country_code,place.country,place.contained_within,place.bounding_box.type,place.bounding_box.coordinates
80,Wed Jan 22 15:12:46 +0000 2020,1220001365105238018,1220001365105238018,RT @katieryanaifs: Attention @WestVirginiaU Mountaineers: stop by the Mountainlair Commons for the study abroad fair from 10-4 today to lea…,False,"[0, 140]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,,,,,False,3,0,False,False,en,[],[],"[{'screen_name': 'katieryanaifs', 'name': 'Katie Ryan AIFS', 'id': 1166744873833308160, 'id_str': '1166744873833308160', 'indices': [3, 17]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [29, 43]}]",[],en,recent,16455842,16455842,AIFS Study Abroad,aifsabroad,"Stamford, CT",#StudyAbroad • #InternAbroad • #VolunteerAbroad • Helping college students change the way they see their worlds since 1964 🌎🌍🌏 #aifsabroad,https://t.co/NqtP24zPzQ,[],False,10460,1677,244,Thu Sep 25 19:12:53 +0000 2008,7073,,,True,True,15933,,False,False,False,003366,http://abs.twimg.com/images/themes/theme5/bg.gif,https://abs.twimg.com/images/themes/theme5/bg.gif,False,http://pbs.twimg.com/profile_images/1145694155995340800/w49ZN_DA_normal.png,https://pbs.twimg.com/profile_images/1145694155995340800/w49ZN_DA_normal.png,76C844,FFFFFF,99CC33,212121,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/16455842/1576789059,"[{'url': 'https://t.co/NqtP24zPzQ', 'expanded_url': 'http://www.aifsabroad.com', 'display_url': 'aifsabroad.com', 'indices': [0, 23]}]",Wed Jan 22 14:58:03 +0000 2020,1.2199976611992412e+18,1219997661199241217,Attention @WestVirginiaU Mountaineers: stop by the Mountainlair Commons for the study abroad fair from 10-4 today to learn about all of the amazing places you can go! Hope to see you later! 🌎✈️ @aifsabroad #aifsabroad,False,"[0, 217]","[{'text': 'aifsabroad', 'indices': [206, 217]}]",[],"[{'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [10, 24]}, {'screen_name': 'aifsabroad', 'name': 'AIFS Study Abroad', 'id': 16455842, 'id_str': '16455842', 'indices': [194, 205]}]",[],en,recent,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.1667448738333082e+18,1166744873833308160,Katie Ryan AIFS,katieryanaifs,,,,,[],False,14.0,6.0,0.0,Wed Aug 28 16:10:44 +0000 2019,5.0,,,False,False,17.0,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1166745012299808768/lzdAC3va_normal.jpg,https://pbs.twimg.com/profile_images/1166745012299808768/lzdAC3va_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,,,,,False,3.0,4.0,False,False,en,,,,,,,,,,
91,Tue Jan 21 23:36:41 +0000 2020,1219765790351806464,1219765790351806464,@PerryB_Photo @WestVirginiaU @wvlegislature Awesome shots!,False,"[44, 58]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197471485535478e+18,1219747148553547776,313663453.0,313663453,PerryB_Photo,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'PerryB_Photo', 'name': 'Perry Bennett Photo', 'id': 313663453, 'id_str': '313663453', 'indices': [0, 13]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [14, 28]}, {'screen_name': 'wvlegislature', 'name': 'WV Legislature', 'id': 21461625, 'id_str': '21461625', 'indices': [29, 43]}]",[],en,recent,555207491,555207491,"Timmy Eads, Mountaineer",WVUMascot,"Morgantown, W.Va.","The official Twitter account of Timmy Eads, @WestVirginiaU's 66th Mountaineer Mascot. Let's Go Mountaineers!",https://t.co/L5uT8wsGfs,[],False,16307,494,99,Mon Apr 16 15:34:01 +0000 2012,2817,,,True,False,5944,,False,False,False,A3C8E0,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1168322099976396801/h-LS47lk_normal.jpg,https://pbs.twimg.com/profile_images/1168322099976396801/h-LS47lk_normal.jpg,0084B4,FFFFFF,DDEEF6,333333,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/555207491/1573246437,"[{'url': 'https://t.co/L5uT8wsGfs', 'expanded_url': 'http://mountaineer.wvu.edu', 'display_url': 'mountaineer.wvu.edu', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Tue Jan 21 20:04:20 +0000 2020,1219712353404641284,1219712353404641284,@FOX19Tricia @Smacke1313 @WestVirginiaU It’s funny that this just sent. I tried to tweet it last night. 😂,False,"[40, 105]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2197117830673613e+18,1219711783067361280,21127543.0,21127543,FOX19Tricia,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'FOX19Tricia', 'name': 'Tricia Macke', 'id': 21127543, 'id_str': '21127543', 'indices': [0, 12]}, {'screen_name': 'Smacke1313', 'name': 'Spencer Macke', 'id': 714567381226496000, 'id_str': '714567381226496000', 'indices': [13, 24]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [25, 39]}]",[],en,recent,20792816,20792816,Brad Underwood,BUnderwoodWKRC,"Cincinnati, Ohio","Reporter for Local12 News. Indianapolis native, Ball State alum and Spurs fan. RT/opinions are mine alone.",https://t.co/PFzcUlUqgS,[],False,3904,1346,116,Fri Feb 13 18:27:43 +0000 2009,3396,,,True,True,10652,,False,False,False,1A1B1F,http://abs.twimg.com/images/themes/theme9/bg.gif,https://abs.twimg.com/images/themes/theme9/bg.gif,False,http://pbs.twimg.com/profile_images/842092423106969600/ZEmAi_ns_normal.jpg,https://pbs.twimg.com/profile_images/842092423106969600/ZEmAi_ns_normal.jpg,2FC2EF,181A1E,252429,666666,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/20792816/1439059330,"[{'url': 'https://t.co/PFzcUlUqgS', 'expanded_url': 'http://www.local12.com', 'display_url': 'local12.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tue Jan 21 12:15:17 +0000 2020,1219594313178456064,1219594313178456064,@PanderBear6 @TMRTroopers @WestVirginiaU @WVUhoops He’s in the doghouse.  He’s the one that told coaches he was tired from practice during the game last Saturday.,False,"[51, 162]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2195012917616312e+18,1219501291761631232,1.2055967551080858e+18,1205596755108085760,PanderBear6,,,,,False,0,0,False,False,en,[],[],"[{'screen_name': 'PanderBear6', 'name': 'PanderBear', 'id': 1205596755108085760, 'id_str': '1205596755108085760', 'indices': [0, 12]}, {'screen_name': 'TMRTroopers', 'name': 'TMR Troopers', 'id': 1665522090, 'id_str': '1665522090', 'indices': [13, 25]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [26, 40]}, {'screen_name': 'WVUhoops', 'name': 'WVU Basketball', 'id': 847878318, 'id_str': '847878318', 'indices': [41, 50]}]",[],en,recent,25363940,25363940,Charles Broce,RealMrBroce,"HUNTINGTON, WV",Happily married to @realmrsbroce. Proud alumni of Newport News Apprentice football #wvu,,[],False,559,1669,3,Thu Mar 19 19:14:01 +0000 2009,38286,,,True,False,25519,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1191188524109840389/_nrrZKWg_normal.jpg,https://pbs.twimg.com/profile_images/1191188524109840389/_nrrZKWg_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/25363940/1509678315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Tue Jan 21 01:58:30 +0000 2020,1219439094062899200,1219439094062899200,@MarlonLeBlanc4 Thank you @MarlonLeBlanc4 for giving me my first college coaching opportunity! I want the student-athlete to have the same experience I did at @WestVirginiaU and you had a big part to play in my development! 💙💛,False,"[16, 226]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2194127949421404e+18,1219412794942140416,1.123714167373013e+18,1123714167373012998,MarlonLeBlanc4,,,,,False,0,15,False,False,en,[],[],"[{'screen_name': 'MarlonLeBlanc4', 'name': 'Marlon LeBlanc', 'id': 1123714167373012998, 'id_str': '1123714167373012998', 'indices': [0, 15]}, {'screen_name': 'MarlonLeBlanc4', 'name': 'Marlon LeBlanc', 'id': 1123714167373012998, 'id_str': '1123714167373012998', 'indices': [26, 41]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [159, 173]}]",[],en,recent,69280743,69280743,Daniel Stratford,DanStrats,"West Virginia, USA",WVU Alum coaching with University of Charleston Men's Soccer Program.,,[],False,880,151,6,Thu Aug 27 12:48:05 +0000 2009,1074,,,True,False,521,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/937452964054224896/iNqQodp9_normal.jpg,https://pbs.twimg.com/profile_images/937452964054224896/iNqQodp9_normal.jpg,0084B4,C0DEED,DDEEF6,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/69280743/1512341180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Tue Jan 21 00:54:11 +0000 2020,1219422908549947393,1219422908549947393,@Nybookieduane @TexasMBB @WestVirginiaU Major bounce-back for WVU.,False,"[40, 66]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2194227390537605e+18,1219422739053760513,1007035806.0,1007035806,Nybookieduane,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'Nybookieduane', 'name': 'Duane Colucci', 'id': 1007035806, 'id_str': '1007035806', 'indices': [0, 14]}, {'screen_name': 'TexasMBB', 'name': ""Texas Men's Basketball"", 'id': 188912381, 'id_str': '188912381', 'indices': [15, 24]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [25, 39]}]",[],en,recent,822279626,822279626,Eli Hershkovich,EliHershkovich,"Philadelphia, PA",EP/Host: @RDCSports' @YouBetterYouBet. College hoops advocate: @ActionNetworkHQ. Alum: @670TheScore. Contact: eli.hershkovich@entercom.com,https://t.co/gwKtiIEgWK,[],False,11878,660,258,Thu Sep 13 22:25:41 +0000 2012,6831,,,True,True,21037,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme15/bg.png,https://abs.twimg.com/images/themes/theme15/bg.png,True,http://pbs.twimg.com/profile_images/1008533991434137600/KXqCOIa__normal.jpg,https://pbs.twimg.com/profile_images/1008533991434137600/KXqCOIa__normal.jpg,B35C00,FFFFFF,C0DFEC,333333,True,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/822279626/1566626167,"[{'url': 'https://t.co/gwKtiIEgWK', 'expanded_url': 'https://app.radio.com/social-download-you-better-you-bet', 'display_url': 'app.radio.com/social-downloa…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Mon Jan 20 04:08:55 +0000 2020,1219109527087452161,1219109527087452161,@cfattorewvu @WestVirginiaU This baby is wild and wonderful.,False,"[28, 60]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218887071047344e+18,1218887071047344133,3161262128.0,3161262128,cfattorewvu,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'cfattorewvu', 'name': 'Christina Fattore', 'id': 3161262128, 'id_str': '3161262128', 'indices': [0, 12]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [13, 27]}]",[],en,recent,259920943,259920943,Laura Bucci,BucciSays,"Philadelphia, PA",Asst. Prof. Political Science @saintjosephs; @IUBloomington PhD; Research union decline in the US states; Pol. Behavior; RI❤️; Pr knitting=1 ; She/her; RT==🤔,https://t.co/NIKv8MuP9W,[],False,1622,1318,33,Wed Mar 02 21:32:21 +0000 2011,10402,,,True,False,4913,,False,False,False,DBE9ED,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,True,http://pbs.twimg.com/profile_images/1167274710205370368/Ac1o7_Nj_normal.jpg,https://pbs.twimg.com/profile_images/1167274710205370368/Ac1o7_Nj_normal.jpg,E81C4F,DBE9ED,E6F6F9,333333,True,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/259920943/1555513714,"[{'url': 'https://t.co/NIKv8MuP9W', 'expanded_url': 'http://lauracbucci.com', 'display_url': 'lauracbucci.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Sun Jan 19 16:22:01 +0000 2020,1218931628380164096,1218931628380164096,@cfattorewvu @WestVirginiaU He just needs a pepperoni roll in his hand. Lol,False,"[28, 75]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.218887071047344e+18,1218887071047344133,3161262128.0,3161262128,cfattorewvu,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'cfattorewvu', 'name': 'Christina Fattore', 'id': 3161262128, 'id_str': '3161262128', 'indices': [0, 12]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [13, 27]}]",[],en,recent,2352602189,2352602189,✨💖Nik Ford 💖✨,ford_nik,"Florida, USA","PoliSci, PhD. CEE,🇷🇺/ Eurasia. Social Trust, Rstats, 🇬🇧Bulldogs, 🐷. USMC. she/her/Dr. Aspiring to be less wrong. all posts/ typos my own. #1stgen",https://t.co/qi8WnxGmhi,[],False,1511,3936,29,Wed Feb 19 13:53:13 +0000 2014,66855,,,True,False,15547,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1193969406621233157/TKaDf52u_normal.jpg,https://pbs.twimg.com/profile_images/1193969406621233157/TKaDf52u_normal.jpg,981CEB,000000,000000,000000,False,True,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/2352602189/1394804277,"[{'url': 'https://t.co/qi8WnxGmhi', 'expanded_url': 'https://www.nicolefordphd.com/', 'display_url': 'nicolefordphd.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Sat Jan 18 19:44:35 +0000 2020,1218620218551033856,1218620218551033856,@CJY4 @WestVirginiaU Thanks Chris! Definitely want to go back and try that shot again with an ultra wide lens,False,"[21, 109]","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2185433518526095e+18,1218543351852609537,105840298.0,105840298,CJY4,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'CJY4', 'name': 'TheChrisYoung', 'id': 105840298, 'id_str': '105840298', 'indices': [0, 5]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [6, 20]}]",[],en,recent,1863708900,1863708900,Corbin Mills,corbinmills18,"New Jersey, USA",Photographer + creative intern for @wvufootball & @wvusports // Student ambassador for @wvumediacollege ‘22 // Formerly: @scminers @wvud1hockey,https://t.co/UqtcGn83Xy,[],False,223,575,1,Sat Sep 14 12:56:45 +0000 2013,1401,,,False,False,156,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1218348862848544771/oTm8itWy_normal.jpg,https://pbs.twimg.com/profile_images/1218348862848544771/oTm8itWy_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,https://pbs.twimg.com/profile_banners/1863708900/1577126704,"[{'url': 'https://t.co/UqtcGn83Xy', 'expanded_url': 'http://www.corbinmills.com', 'display_url': 'corbinmills.com', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Sat Jan 18 14:39:09 +0000 2020,1218543351852609537,1218543351852609537,@corbinmills18 @WestVirginiaU The mast shot is nice mate 👏🏻,False,"[30, 59]","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2183215610962698e+18,1218321561096269825,1863708900.0,1863708900,corbinmills18,,,,,False,0,1,False,False,en,[],[],"[{'screen_name': 'corbinmills18', 'name': 'Corbin Mills', 'id': 1863708900, 'id_str': '1863708900', 'indices': [0, 14]}, {'screen_name': 'WestVirginiaU', 'name': 'WVU Mountaineers', 'id': 17962391, 'id_str': '17962391', 'indices': [15, 29]}]",[],en,recent,105840298,105840298,TheChrisYoung,CJY4,"Morgantown, WV",Just a guy with a camera...@Westvirginiau social media editor. Keen sports photographer and content creator 📸 📹,https://t.co/ky8o8B8L1p,[],False,623,747,61,Sun Jan 17 17:27:45 +0000 2010,27291,,,True,False,8726,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1155575893269594124/05vjwUMd_normal.jpg,https://pbs.twimg.com/profile_images/1155575893269594124/05vjwUMd_normal.jpg,FF691F,000000,000000,000000,False,False,False,False,False,False,False,none,https://pbs.twimg.com/profile_banners/105840298/1544713890,"[{'url': 'https://t.co/ky8o8B8L1p', 'expanded_url': 'https://about.me/christopher.young', 'display_url': 'about.me/christopher.yo…', 'indices': [0, 23]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
